epoch,lr,loss,dice,val_loss,val_dice
0.0,0.0003,0.140149508142748,0.7921679306436852,0.12041464824478539,0.837869960654528
1.0,0.0003,0.07772894527393871,0.8854579883582021,0.10259347699269927,0.8643092168922829
2.0,0.0003,0.06451236661126279,0.9045742274549049,0.0976644909170961,0.8806157122421602
3.0,0.0003,0.05793332552988377,0.9142931671449955,0.08937101140300377,0.8900863614109062
4.0,0.0003,0.054584386914856314,0.9186650194780153,0.08564475700815617,0.8992999545794205
5.0,0.0003,0.05245557837071391,0.9217595059135495,0.08270233698655582,0.9039141500772454
6.0,0.0003,0.04953000406072086,0.926112885236242,0.08035094684962274,0.9107318586262126
7.0,0.0003,0.04696288890412154,0.9303924181990862,0.08150103826414937,0.9045456882637
8.0,0.0003,0.043916242412166434,0.9341597764710882,0.07081637799655051,0.9227674155455047
9.0,0.0003,0.04335615049248358,0.9354382308550933,0.0911149762949746,0.8764552479408564
10.0,0.0003,0.042465765048823365,0.9363987544427548,0.07571352638468506,0.9143591565582813
11.0,0.0003,0.04200066530929792,0.9368162693649792,0.07159590238644338,0.9183550812878809
12.0,0.0003,0.040310720433779014,0.939528024983237,0.07596414998454568,0.9124544818019966
13.0,0.0003,0.03848866669197042,0.9420867730565372,0.06331865856779016,0.928970300923428
14.0,0.0003,0.03865112548266331,0.9417439652880282,0.06808512694974712,0.928133608989467
15.0,0.0003,0.03713092634050057,0.9440446541853801,0.06958310984228744,0.9215709342232491
16.0,0.0003,0.036486462425379784,0.9451810614228099,0.06519171561129063,0.9338224689383652
17.0,0.0003,0.03534822937152541,0.9471093771299125,0.06657165174993818,0.929924147568951
18.0,0.0003,0.03446161723561314,0.948134129334573,0.0599669171245517,0.9365423059113237
19.0,0.0003,0.03370996332578969,0.9490431360348853,0.06342948347020094,0.9284027940036523
20.0,0.0003,0.032912194979852684,0.9501945985006718,0.05882487411691594,0.9410826392617347
21.0,0.0003,0.03289573224216999,0.9503725093121428,0.05821904793559212,0.9448033668677754
22.0,0.0003,0.03258530861082273,0.9508319015571511,0.05752334882840408,0.941539179869885
23.0,0.0003,0.03182972664156066,0.9519426011409909,0.05703723253907469,0.9466692100356511
24.0,0.0003,0.03324882159806517,0.9498078515605914,0.06457907412397235,0.929073047806882
25.0,0.0003,0.031319735969745154,0.9526546434347355,0.05602418174000078,0.9452935162882857
26.0,0.0003,0.030925660574086564,0.9532262552740928,0.05467236069909391,0.9488602601216033
27.0,0.0003,0.03010120519683457,0.9542496912751622,0.056950238787014024,0.9464249448143325
28.0,0.0003,0.029653463354673112,0.9548972097706221,0.05539248241469328,0.9490763651929736
29.0,0.0003,0.02921200266278523,0.9555690986897745,0.054778323612794555,0.9484515818912931
30.0,0.0003,0.029118391781241412,0.9559238236701324,0.05352128123543934,0.9522081200721628
31.0,0.0003,0.029353945665388664,0.955278196774241,0.05614969371268221,0.9476379599522908
32.0,0.0003,0.028595922431129135,0.9567065132756155,0.05673826493357294,0.9439075256469119
33.0,0.0003,0.028997919390181377,0.9565113068823533,0.05775287453744926,0.9409759225997631
34.0,0.0003,0.028754476737815282,0.9566360694455,0.052265975422293456,0.9537321754196665
35.0,0.0003,0.027508508851529664,0.9580856951539666,0.05227644020521942,0.9510577373984531
36.0,0.0003,0.027296832758685576,0.9586632803063769,0.053031549305465615,0.951169651899965
37.0,0.0003,0.027719740636665446,0.9579566290856301,0.05380038109940515,0.9501122833680219
38.0,0.0003,0.027103943683422047,0.9589387153891129,0.0536247326755316,0.9499789848020814
39.0,0.0003,0.027358130836997233,0.9584901009105529,0.051696204328657805,0.9516987098796552
40.0,0.0003,0.02674332852294222,0.9594513573191845,0.052612157237807426,0.9502727417155922
41.0,0.0003,0.026310965047688824,0.9598818638180927,0.05096991238638674,0.9528140531037019
42.0,0.0003,0.026687472347062608,0.9595126642595936,0.050914907122526325,0.9558022642158142
43.0,0.0003,0.026131521597495266,0.9601340731383866,0.05399386079950128,0.9465654320703618
44.0,0.0003,0.025842346982747653,0.9605805259595144,0.05388983591309991,0.9481246522371172
45.0,0.0003,0.026612537265889618,0.9599079088255333,0.0502613220359881,0.9567449195354102
46.0,0.0003,0.02545391484917407,0.9611964709785682,0.0495343737577116,0.9579788922801841
